student_number,school_year,sem,year_level,section,status
15-0185,2018-2019,1st Sem,III,,REGULAR
15-0187,2018-2019,1st Sem,III,,REGULAR
15-0189,2018-2019,1st Sem,III,,REGULAR
15-0197,2018-2019,1st Sem,III,,REGULAR
15-0199,2018-2019,1st Sem,III,,REGULAR
15-0202,2018-2019,1st Sem,III,,REGULAR
17-0046,2018-2019,1st Sem,I,,REGULAR
17-0047,2018-2019,1st Sem,I,,REGULAR
17-0048,2018-2019,1st Sem,I,,IRREGULAR
17-0050,2018-2019,1st Sem,I,,REGULAR
17-0051,2018-2019,1st Sem,I,,REGULAR
17-0052,2018-2019,1st Sem,I,,IRREGULAR
15-0435,2018-2019,1st Sem,II,,REGULAR
16-0083,2018-2019,1st Sem,II,,IRREGULAR
16-0084,2018-2019,1st Sem,II,,REGULAR
16-0085,2018-2019,1st Sem,II,,IRREGULAR
16-0094,2018-2019,1st Sem,II,,REGULAR
16-0095,2018-2019,1st Sem,II,,REGULAR
16-0099,2018-2019,1st Sem,II,,REGULAR
16-0103,2018-2019,1st Sem,II,,REGULAR
16-0107,2018-2019,1st Sem,II,,REGULAR
16-0128,2018-2019,1st Sem,II,,REGULAR
15-0212,2018-2019,1st Sem,III,,REGULAR
15-0213,2018-2019,1st Sem,III,,REGULAR
15-0214,2018-2019,1st Sem,III,,REGULAR
15-0215,2018-2019,1st Sem,III,,REGULAR
15-0222,2018-2019,1st Sem,III,,REGULAR
15-0251,2018-2019,1st Sem,III,,REGULAR
15-0410,2018-2019,1st Sem,III,,REGULAR
17-0040,2018-2019,1st Sem,III,,REGULAR
15-0392,2018-2019,1st Sem,IV,,REGULAR
15-0431,2018-2019,1st Sem,IV,,IRREGULAR
15-0443,2018-2019,1st Sem,IV,,REGULAR
13-0122,2018-2019,1st Sem,III ,,REGULAR
14-0127,2018-2019,1st Sem,IV ,,REGULAR
14-0133,2018-2019,1st Sem,IV ,,REGULAR
14-0145,2018-2019,1st Sem,IV ,,REGULAR
14-0207,2018-2019,1st Sem,III ,,REGULAR
15-0063,2018-2019,1st Sem,III,,REGULAR
15-0070,2018-2019,1st Sem,III,,REGULAR
15-0071,2018-2019,1st Sem,III,,REGULAR
15-0072,2018-2019,1st Sem,III,,REGULAR
15-0075,2018-2019,1st Sem,III,,REGULAR
15-0088,2018-2019,1st Sem,III,,REGULAR
15-0090,2018-2019,1st Sem,III,,REGULAR
15-0092,2018-2019,1st Sem,III,,REGULAR
15-0093,2018-2019,1st Sem,III,,REGULAR
15-0398,2018-2019,1st Sem,II,,REGULAR
16-0054,2018-2019,1st Sem,II,,REGULAR
16-0056,2018-2019,1st Sem,II,,REGULAR
15-0433,2018-2019,1st Sem,III,,IRREGULAR
13-0248,2018-2019,1st Sem,III ,,REGULAR
14-0240,2018-2019,1st Sem,III ,,REGULAR
14-0309,2018-2019,1st Sem,II,,REGULAR
17-0002,2018-2019,1st Sem,I,,REGULAR
17-0003,2018-2019,1st Sem,I,,REGULAR
17-0012,2018-2019,1st Sem,I,,REGULAR
17-0014,2018-2019,1st Sem,I,,REGULAR
17-0028,2018-2019,1st Sem,I,,REGULAR
16-0003,2018-2019,1st Sem,II,,REGULAR
16-0011,2018-2019,1st Sem,II,,REGULAR
16-0012,2018-2019,1st Sem,II,,REGULAR
16-0134,2018-2019,1st Sem,II,,REGULAR
15-0233,2018-2019,1st Sem,III,,REGULAR
15-0247,2018-2019,1st Sem,III,,REGULAR
15-0266,2018-2019,1st Sem,III,,REGULAR
15-0267,2018-2019,1st Sem,III,,REGULAR
15-0270,2018-2019,1st Sem,III,,REGULAR
15-0313,2018-2019,1st Sem,III,,REGULAR
15-0317,2018-2019,1st Sem,III,,REGULAR
15-0346,2018-2019,1st Sem,III,,REGULAR
15-0359,2018-2019,1st Sem,III,,REGULAR
15-0374,2018-2019,1st Sem,III,,REGULAR
15-0375,2018-2019,1st Sem,III,,REGULAR
15-0399,2018-2019,1st Sem,III,,REGULAR
15-0428,2018-2019,1st Sem,III,,REGULAR
10-1770,2018-2019,1st Sem,IV,,REGULAR
14-0223,2018-2019,1st Sem,IV ,,REGULAR
14-0252,2018-2019,1st Sem,IV ,,REGULAR
14-0291,2018-2019,1st Sem,IV ,,REGULAR
14-0293,2018-2019,1st Sem,IV ,,REGULAR
14-0297,2018-2019,1st Sem,IV ,,REGULAR
14-0298,2018-2019,1st Sem,IV ,,REGULAR
14-0299,2018-2019,1st Sem,IV ,,REGULAR
14-0301,2018-2019,1st Sem,IV ,,REGULAR
14-0302,2018-2019,1st Sem,IV ,,REGULAR
14-0303,2018-2019,1st Sem,IV ,,REGULAR
14-0305,2018-2019,1st Sem,IV ,,REGULAR
14-0306,2018-2019,1st Sem,IV ,,REGULAR
14-0368,2018-2019,1st Sem,IV,,REGULAR
15-0422,2018-2019,1st Sem,IV,,REGULAR
13-0266,2018-2019,1st Sem,IV ,,REGULAR
14-0200,2018-2019,1st Sem,IV ,,REGULAR
14-0332,2018-2019,1st Sem,IV,,REGULAR
17-0017,2018-2019,1st Sem,I,,REGULAR
17-0027,2018-2019,1st Sem,I,,REGULAR
16-0005,2018-2019,1st Sem,II,,REGULAR
16-0010,2018-2019,1st Sem,II,,REGULAR
16-0016,2018-2019,1st Sem,II,,REGULAR
16-0017,2018-2019,1st Sem,II,,REGULAR
16-0022,2018-2019,1st Sem,II,,REGULAR
16-0023,2018-2019,1st Sem,II,,REGULAR
16-0025,2018-2019,1st Sem,II,,REGULAR
16-0026,2018-2019,1st Sem,II,,REGULAR
16-0036,2018-2019,1st Sem,II,,REGULAR
16-0037,2018-2019,1st Sem,II,,REGULAR
15-0273,2018-2019,1st Sem,III,,REGULAR
15-0302,2018-2019,1st Sem,III,,REGULAR
15-0310,2018-2019,1st Sem,III,,REGULAR
15-0352,2018-2019,1st Sem,III,,REGULAR
15-0358,2018-2019,1st Sem,III,,REGULAR
15-0403,2018-2019,1st Sem,III,,REGULAR
16-0080,2018-2019,1st Sem,IV,,REGULAR
16-0081,2018-2019,1st Sem,IV,,REGULAR
11-0048,2018-2019,1st Sem,IV,,REGULAR
13-0084,2018-2019,1st Sem,II ,,IRREGULAR
13-0316,2018-2019,1st Sem,IV ,,REGULAR
14-0174,2018-2019,1st Sem,IV ,,REGULAR
14-0175,2018-2019,1st Sem,IV,,REGULAR
14-0181,2018-2019,1st Sem,IV ,,REGULAR
14-0182,2018-2019,1st Sem,III ,,IRREGULAR
14-0184,2018-2019,1st Sem,IV ,,REGULAR
14-0189,2018-2019,1st Sem,IV ,,REGULAR
14-0190,2018-2019,1st Sem,IV ,,REGULAR
14-0195,2018-2019,1st Sem,IV,,REGULAR
14-0430,2018-2019,1st Sem,III,,REGULAR
15-0001,2018-2019,1st Sem,III,,REGULAR
15-0002,2018-2019,1st Sem,III,,REGULAR
15-0007,2018-2019,1st Sem,III,,REGULAR
15-0009,2018-2019,1st Sem,III,,REGULAR
15-0010,2018-2019,1st Sem,III,,REGULAR
15-0013,2018-2019,1st Sem,III,,REGULAR
15-0015,2018-2019,1st Sem,III,,REGULAR
15-0016,2018-2019,1st Sem,III,,REGULAR
15-0020,2018-2019,1st Sem,III,,REGULAR
15-0022,2018-2019,1st Sem,III,,IRREGULAR
15-0437,2018-2019,1st Sem,II,,IRREGULAR
16-0059,2018-2019,1st Sem,II,,REGULAR
16-0065,2018-2019,1st Sem,II,,REGULAR
16-0122,2018-2019,1st Sem,II,,REGULAR
15-0453,2018-2019,1st Sem,III,,REGULAR
13-0112,2018-2019,1st Sem,IV,,REGULAR
17-0005,2018-2019,1st Sem,I,,REGULAR
17-0015,2018-2019,1st Sem,I,,REGULAR
17-0030,2018-2019,1st Sem,I,,REGULAR
17-0033,2018-2019,1st Sem,I,,REGULAR
17-0056,2018-2019,1st Sem,I,,REGULAR
16-0006,2018-2019,1st Sem,II,,REGULAR
16-0033,2018-2019,1st Sem,II,,IRREGULAR
16-0034,2018-2019,1st Sem,II,,REGULAR
16-0035,2018-2019,1st Sem,II,,REGULAR
15-0244,2018-2019,1st Sem,III,,REGULAR
15-0246,2018-2019,1st Sem,III,,REGULAR
15-0287,2018-2019,1st Sem,III,,REGULAR
15-0292,2018-2019,1st Sem,III,,REGULAR
15-0316,2018-2019,1st Sem,III,,REGULAR
15-0318,2018-2019,1st Sem,III,,REGULAR
15-0328,2018-2019,1st Sem,III,,REGULAR
15-0362,2018-2019,1st Sem,III,,REGULAR
15-0383,2018-2019,1st Sem,III,,REGULAR
15-0456,2018-2019,1st Sem,III,,REGULAR
15-0442,2018-2019,1st Sem,IV,,REGULAR
09-1655,2018-2019,1st Sem,III,,REGULAR
14-0296,2018-2019,1st Sem,IV ,,REGULAR
14-0300,2018-2019,1st Sem,IV ,,REGULAR
14-0313,2018-2019,1st Sem,III,,REGULAR
14-0314,2018-2019,1st Sem,IV,,REGULAR
14-0315,2018-2019,1st Sem,IV,,REGULAR
14-0316,2018-2019,1st Sem,IV,,REGULAR
14-0317,2018-2019,1st Sem,IV,,REGULAR
14-0319,2018-2019,1st Sem,IV,,REGULAR
14-0320,2018-2019,1st Sem,IV,,REGULAR
14-0322,2018-2019,1st Sem,IV,,REGULAR
14-0329,2018-2019,1st Sem,IV,,REGULAR
14-0337,2018-2019,1st Sem,IV,,REGULAR
14-0338,2018-2019,1st Sem,IV,,REGULAR
14-0361,2018-2019,1st Sem,IV,,REGULAR
14-0365,2018-2019,1st Sem,IV,,REGULAR
17-0018,2018-2019,1st Sem,I,,REGULAR
17-0025,2018-2019,1st Sem,I,,REGULAR
16-0004,2018-2019,1st Sem,II,,IRREGULAR
16-0031,2018-2019,1st Sem,II,,REGULAR
15-0236,2018-2019,1st Sem,III,,REGULAR
15-0241,2018-2019,1st Sem,III,,REGULAR
15-0294,2018-2019,1st Sem,III,,REGULAR
15-0351,2018-2019,1st Sem,III,,REGULAR
15-0356,2018-2019,1st Sem,III,,REGULAR
15-0373,2018-2019,1st Sem,III,,REGULAR
14-0324,2018-2019,1st Sem,IV,,REGULAR
14-0325,2018-2019,1st Sem,IV,,REGULAR
14-0326,2018-2019,1st Sem,IV,,REGULAR
14-0330,2018-2019,1st Sem,II,,IRREGULAR
13-0309,2018-2019,1st Sem,IV ,,REGULAR
13-0310,2018-2019,1st Sem,IV ,,REGULAR
14-0266,2018-2019,1st Sem,IV ,,REGULAR
14-0339,2018-2019,1st Sem,IV,,REGULAR
14-0364,2018-2019,1st Sem,IV,,REGULAR
15-0234,2018-2019,1st Sem,III,,REGULAR
15-0264,2018-2019,1st Sem,III,,REGULAR
15-0281,2018-2019,1st Sem,III,,REGULAR
15-0314,2018-2019,1st Sem,III,,REGULAR
